Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C30, C4, C6",0603,4,1uF,
"C10, C11, C17, C18, C19, C21, C22, C23, C24, C25, C27, C28, C42",0603,13,10uF,
"C13, C14",0603,2,47nF,
"C15, C48, C49",0603,3,4.7uF,
"C16, C20, C31, C33, C34, C35, C36, C37, C43, C44, C45, C46, C5, C50, C51, C7, C8, C9",0603,18,0.1uF,
C2,1206,1,4.7uF,
C26,0603,1,1nF,
C3,0805,1,22uF,
"C32, C41",0603,2,22uF,
"C38, C39",0603,2,4pF,
C40,0603,1,10nF,
"D1, D2, D3",TVS_LESD5D5.0CT1G,3,LESD5D5.0CT1G,
D5,D_PowerDI-123,1,DFLS240L,
"D6, D7, D8",0402,3,LED,
"J1, J4",HRO_TYPE-C-31-M-12,2,TYPE-C-31-M-12,
"J10, J6",TestPoint_THTPad_4.0x4.0mm_Drill2.0mm,2,Conn_01x08,
"J11, J7",TestPoint_THTPad_4.0x4.0mm_Drill2.0mm,2,Conn_01x02,
J2,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04_Pin,
J3,AMASS_XT60-M_1x02_P7.20mm_Vertical,1,Conn_01x02_Pin,
J5,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,Conn_02x09_Top_Bottom,
J8,microSD_HC_Molex_104031-0811,1,Micro_SD_Card,
L1,0603,1,1uH,
L2,1008,1,2.2uH,
L3,L_Abracon_ASPI-4030S,1,4.7uH,
"Q1, Q2, Q3, Q4, Q5",VSON-8_3.3x3.3mm_P0.65mm_NexFET,5,CSD17578Q5A,
"Q6, Q7",SOT-23,2,Q_NPN,
"R1, R2",0402,2,5.1k,
"R10, R30, R31",0402,3,100,
R11,0402,1,5.24k,
R12,0402,1,30.31k,
R15,0402,1,619k,
"R16, R17, R18, R23, R24, R26, R44, R46, R57",0402,9,1k,
R19,0402,1,450k,
"R20, R22, R3, R42, R43, R49, R5, R50, R53, R58, R59, R9",0402,12,10k,
R21,0402,1,196k,
R25,0402,1,4.5k,
"R27, R28",0402,2,1M,
R29,0402,1,10m,
"R33, R34, R35",0805,3,45,
R38,0402,1,51k,
R39,0402,1,16.6k,
R45,0402,1,510,
R52,0402,1,137k,
R54,0603,1,0,
R55,0402,1,22.1k,
R56,0402,1,47.5k,
R6,0402,1,10.5k,
R7,0402,1,75k,
R8,0402,1,160k,
"TH1, TH2",0805,2,10k,
"TP1, TP2",TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,2,TestPoint,
U1,SOT-23-6,1,AP3211K,
U10,SOT-583-8,1,TPS629203,
U11,SOT-223-3_TabPin2,1,AMS1117-1.8,
U12,TSSOP-16-1EP_4.4x5mm_P0.65mm,1,TCA9534,
U2,XCVR_ESP32-S3-WROOM-1U-N4R8,1,ESP32-S3-WROOM-1U-N4R8,
U3,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,1,CH224K,
U4,Texas_RQM0029A_VQFN-29_4x4mm_P0.4mm,1,BQ25798,
U5,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102N-Axx-xQFN28,
U6,PW24_TEX,1,BQ7791500PWR,
U7,PQFN50P250X300X86-14N,1,LSM6DSOXTR,
U9,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,1,BME280,
Y1,XTAL_ABS06-107-32.768KHZ-T,1,ABS06-107-32.768KHZ-T,
